t,firing_rate,mean_membrane,mean_weight,mean_pre_trace,mean_post_trace,n_refractory
318,0.000000,0.504902,0.451424,0.135374,0.135374,131
319,0.060000,0.455492,0.451494,0.188605,0.188605,240
320,0.000000,0.457786,0.451494,0.179175,0.179175,223
321,0.000000,0.459621,0.451494,0.170216,0.170216,206
322,0.010000,0.451605,0.451494,0.171705,0.171705,209
323,0.000000,0.452277,0.451494,0.163120,0.163120,191
324,0.000000,0.457613,0.451494,0.154964,0.154964,175
325,0.010000,0.454742,0.451504,0.157216,0.157216,179
326,0.000000,0.460386,0.451504,0.149355,0.149355,163
327,0.000000,0.467301,0.451504,0.141887,0.141887,148
328,0.000000,0.476033,0.451504,0.134793,0.134793,134
329,0.030000,0.460768,0.451508,0.158053,0.158053,181
330,0.010000,0.458922,0.451522,0.160151,0.160151,186
331,0.000000,0.462130,0.451522,0.152143,0.152143,170
332,0.010000,0.457611,0.451536,0.154536,0.154536,174
333,0.010000,0.450825,0.451550,0.156809,0.156809,177
334,0.000000,0.451652,0.451550,0.148969,0.148969,159
335,0.000000,0.452314,0.451550,0.141520,0.141520,141
336,0.000000,0.452843,0.451550,0.134444,0.134444,123
337,0.000000,0.453267,0.451550,0.127722,0.127722,105
338,0.000000,0.461606,0.451550,0.121336,0.121336,91
339,0.010000,0.460502,0.451555,0.125269,0.125269,97
340,0.000000,0.480194,0.451555,0.119006,0.119006,88
341,0.000000,0.495947,0.451555,0.113055,0.113055,79
342,0.050000,0.474097,0.451597,0.157403,0.157403,170
343,0.000000,0.483870,0.451597,0.149532,0.149532,157
344,0.030000,0.464795,0.451625,0.172056,0.172056,204
345,0.000000,0.468428,0.451625,0.163453,0.163453,188
346,0.000000,0.472935,0.451625,0.155280,0.155280,173
347,0.000000,0.476540,0.451625,0.147516,0.147516,158
348,0.000000,0.479424,0.451625,0.140140,0.140140,143
349,0.020000,0.461537,0.451636,0.153133,0.153133,168
350,0.010000,0.460452,0.451636,0.155477,0.155477,174
351,0.010000,0.464794,0.451636,0.157703,0.157703,180
352,0.000000,0.470827,0.451636,0.149818,0.149818,165
353,0.020000,0.463321,0.451656,0.162327,0.162327,191
354,0.010000,0.462564,0.451678,0.164211,0.164211,196
355,0.020000,0.447697,0.451709,0.176000,0.176000,220
356,0.010000,0.442865,0.451723,0.177200,0.177200,222
357,0.000000,0.443684,0.451723,0.168340,0.168340,203
358,0.000000,0.444339,0.451723,0.159923,0.159923,184
359,0.000000,0.444864,0.451723,0.151927,0.151927,165
360,0.000000,0.446883,0.451723,0.144331,0.144331,147
361,0.000000,0.448499,0.451723,0.137114,0.137114,129
362,0.000000,0.449791,0.451723,0.130258,0.130258,111
363,0.000000,0.460425,0.451723,0.123745,0.123745,98
364,0.000000,0.468932,0.451723,0.117558,0.117558,85
365,0.000000,0.483738,0.451723,0.111680,0.111680,75
366,0.000000,0.495583,0.451723,0.106096,0.106096,65
367,0.040000,0.478165,0.451753,0.140791,0.140791,135
368,0.000000,0.483124,0.451753,0.133752,0.133752,121
369,0.030000,0.460199,0.451785,0.157064,0.157064,167
370,0.000000,0.465551,0.451785,0.149211,0.149211,152
371,0.010000,0.464377,0.451791,0.151750,0.151750,158
372,0.000000,0.472894,0.451791,0.144163,0.144163,144
373,0.010000,0.473947,0.451791,0.146955,0.146955,150
374,0.000000,0.481350,0.451791,0.139607,0.139607,137
375,0.020000,0.474337,0.451811,0.152627,0.152627,165
376,0.010000,0.476179,0.451811,0.154995,0.154995,173
377,0.010000,0.480050,0.451811,0.157246,0.157246,181
378,0.010000,0.480748,0.451817,0.159383,0.159383,188
